Link ID: _y154, current_velocityが0の割合: 0.00, 出現回数: 3
Link ID: _y155, current_velocityが0の割合: 0.00, 出現回数: 2
Link ID: _y156, current_velocityが0の割合: 0.00, 出現回数: 329
Link ID: _y158, current_velocityが0の割合: 0.00, 出現回数: 432
Link ID: _y159, current_velocityが0の割合: 0.00, 出現回数: 258
Link ID: _y161, current_velocityが0の割合: 0.00, 出現回数: 1
Link ID: _y165, current_velocityが0の割合: 0.00, 出現回数: 6
Link ID: _y174, current_velocityが0の割合: 0.00, 出現回数: 4
Link ID: _y177, current_velocityが0の割合: 0.00, 出現回数: 5
Link ID: _y178, current_velocityが0の割合: 0.00, 出現回数: 1
Link ID: _y187, current_velocityが0の割合: 0.00, 出現回数: 10
Link ID: _y192, current_velocityが0の割合: 0.00, 出現回数: 44
Link ID: _y195, current_velocityが0の割合: 0.00, 出現回数: 3
Link ID: _y201, current_velocityが0の割合: 0.00, 出現回数: 37
Link ID: _y208, current_velocityが0の割合: 0.00, 出現回数: 5
Link ID: _y212, current_velocityが0の割合: 0.00, 出現回数: 2
Link ID: _y215, current_velocityが0の割合: 0.00, 出現回数: 38
Link ID: _y216, current_velocityが0の割合: 0.00, 出現回数: 2
Link ID: _y219, current_velocityが0の割合: 0.00, 出現回数: 21
Link ID: _y221, current_velocityが0の割合: 0.00, 出現回数: 33
Link ID: _y223, current_velocityが0の割合: 0.00, 出現回数: 396
Link ID: _y228, current_velocityが0の割合: 0.00, 出現回数: 7
Link ID: _y245, current_velocityが0の割合: 0.00, 出現回数: 1
Link ID: _y246, current_velocityが0の割合: 0.00, 出現回数: 6
Link ID: _y247, current_velocityが0の割合: 0.00, 出現回数: 2
Link ID: _y252, current_velocityが0の割合: 0.00, 出現回数: 1
Link ID: _y254, current_velocityが0の割合: 0.00, 出現回数: 1
Link ID: _y256, current_velocityが0の割合: 0.00, 出現回数: 18
Link ID: _y258, current_velocityが0の割合: 0.00, 出現回数: 72
Link ID: _y270, current_velocityが0の割合: 0.00, 出現回数: 25
Link ID: _y275, current_velocityが0の割合: 0.00, 出現回数: 22
